OID_,STATUS,TYPE,LAT,LON
1,Active,Diesel,29.730461250000001,-95.01468492
2,Active,Diesel,29.730736440000001,-95.01450371
3,Active,Diesel,29.731023570000001,-95.01430718
4,Active,Diesel,29.731369189999999,-95.01407474
5,Active,Diesel,29.731635040000000,-95.01460479
6,Active,Diesel,29.731296579999999,-95.01486498
7,Active,Diesel,29.731039020000001,-95.01503925
8,Active,Diesel,29.731250379999999,-95.01568156
9,Active,Diesel,29.731925820000001,-95.01512101
10,Active,Diesel,29.732179049999999,-95.01560374
11,Active,Diesel,29.731588299999999,-95.01623516
12,Active,Diesel,29.731788110000000,-95.0165284
13,Active,Diesel,29.732042419999999,-95.0162448
14,Active,Diesel,29.731853019999999,-95.01606062
15,Active,Diesel,29.732359920000000,-95.01776936
16,Active,Diesel,29.732983669999999,-95.01733595
17,Active,Diesel,29.733397060000001,-95.01458344
18,Active,Diesel,29.733961420000000,-95.01428391
19,Active,Diesel,29.733601250000000,-95.01356898
20,Active,Diesel,29.733069319999998,-95.01399481
21,Active,Diesel,29.732574350000000,-95.01309458
22,Active,Diesel,29.733117119999999,-95.01271211
23,Active,Diesel,29.733825820000000,-95.0121261
24,Active,Diesel,29.734369810000000,-95.01306821
25,Active,Diesel,29.734711669999999,-95.01372489
26,Decommissioned,,29.734803740000000,-95.01580309
27,Decommissioned,,29.735515050000000,-95.01530457
28,Decommissioned,,29.734092430000000,-95.0163016
29,Active,Diesel,29.734594500000000,-95.0172056
30,Active,Diesel,29.735304520000000,-95.01666336
31,Active,Diesel,29.736007590000000,-95.01620895
32,Decommissioned,,29.736688390000001,-95.01573352
33,Decommissioned,,29.736422930000000,-95.01700286
34,Decommissioned,,29.735731359999999,-95.01752249
35,Decommissioned,,29.735038150000001,-95.01798745
36,Active,Gasoline,29.735584140000000,-95.01899811
37,Active,Gasoline,29.734863600000001,-95.01950791
38,Active,Gasoline,29.736295460000001,-95.01849961
39,Active,Gasoline,29.736993250000001,-95.01801839
40,Active,Gasoline,29.736698959999998,-95.01930203
41,Active,Gasoline,29.736009989999999,-95.01982446
